Slippin' Into Darkness
Nice To Be With You

mysql> source C:\Users\emily\Documents\databases\Project\p6.txt
+--------------------------------------------------------------------------------+--------------+
| tr_title                                                                       | timesonchart |
| With Pen In Hand                                                               |            5 |
| Simple Song Of Freedom                                                         |            5 |
| Reelin And Rocking (Live)                                                      |            5 |
| You're The Man (Part 1)                                                        |            5 |
| I Wrote A Simple Song                                                          |            5 |
| Lady Eleanor                                                                   |            5 |
| Open The Door (Song For Judith)                                                |            5 |
| Everybody Knows About My Good Thing (Part 1)                                   |            5 |
| Woman Is The Nigger Of The World                                               |            5 |
| Separate Ways                                                                  |            5 |
| Oh, Babe, What Would You Say                                                   |            5 |
| Upsetter                                                                       |            5 |
| Annabelle                                                                      |            5 |
| What It Is                                                                     |            5 |
| The Cover Of "Rolling Stone"                                                   |            5 |
| Vahevala                                                                       |            5 |
| Baby Won't You Let Me Rock 'N Roll You                                         |            5 |
| Will You Still Love Me Tomorrow                                                |            5 |
| Iko Iko                                                                        |            5 |
| Move 'Em Out                                                                   |            5 |
| The Jean Genie                                                                 |            5 |
| Just As Long As You Need Me (Part 1)                                           |            5 |
| I Could Never Be Happy                                                         |            5 |
| We Need Order                                                                  |            5 |
| Since I Fell For You                                                           |            5 |
| One Monkey Don't Stop No Show (Part 1)                                         |            5 |
| White Lies, Blue Eyes                                                          |            5 |
| I'll Be Your Shelter (In Time Of Storm)                                        |            5 |
| Trouble In My Home                                                             |            5 |
| Cotton Jenny                                                                   |            5 |
| The People Tree                                                                |            5 |
| Love's Street And Fool's Road                                                  |            5 |
| Don't Let Me Be Lonely Tonight                                                 |            5 |
| Cry                                                                            |            5 |
| A Sunday Kind Of Love                                                          |            5 |
| Do What You Set Out To Do                                                      |            5 |
| My Boy                                                                         |            5 |
| Ain't Nobody Home                                                              |            5 |
| Summer Sun                                                                     |            5 |
| I Don't Need No Doctor                                                         |            5 |
| Giving Up                                                                      |            5 |
| I Thank You                                                                    |            5 |
| I Can't Turn You Loose                                                         |            4 |
| Daddy's Home                                                                   |            4 |
| All I Ever Need Is You                                                         |            4 |
| Sour Suite                                                                     |            4 |
| Up In Heah                                                                     |            4 |
| Love Jones                                                                     |            4 |
| Suite: Man And Woman                                                           |            4 |
| Whatever Turns You On                                                          |            4 |
| One More Chance                                                                |            4 |
| The Mosquito                                                                   |            4 |
| Beg, Borrow Or Steal                                                           |            4 |
| Knock Knock Who's There                                                        |            4 |
| Take It Slow (Out In The Country)                                              |            4 |
| Country Woman                                                                  |            4 |
| Bedtime Story                                                                  |            4 |
| School Teacher                                                                 |            4 |
| Harry Hippie                                                                   |            4 |
| Silly Wasn't I                                                                 |            4 |
| After All This Time                                                            |            4 |
| Music From Across The Way                                                      |            4 |
| Keep On Keeping On                                                             |            4 |
| Me And My Baby Got A Good Thing Going                                          |            4 |
| What A Wonderful Thing We Have                                                 |            4 |
| What Would The Children Think                                                  |            4 |
| You Make Your Own Heaven And Hell Right Here                                   |            4 |
| Dinah Flo                                                                      |            4 |
| How Could I Let You Get Away                                                   |            4 |
| Get Up And Get Down                                                            |            4 |
| Have You Seen Her                                                              |            4 |
| An Old Fashioned Love Song                                                     |            4 |
| Runaway And Happy Together                                                     |            4 |
| Cherish                                                                        |            4 |
| Sittin' On A Time Bomb (Waitin' For The Hurt To Come)                          |            4 |
| The Relay                                                                      |            4 |
| If I Could See The Light                                                       |            4 |
| Let Us Love                                                                    |            4 |
| Bless The Beasts And The Children                                              |            4 |
| Sweet Baby                                                                     |            4 |
| One Way Out                                                                    |            4 |
| Ain't Wastin' Time No More                                                     |            4 |
| Together Alone                                                                 |            4 |
| I Found My Dad                                                                 |            4 |
| Pretty As You Feel                                                             |            4 |
| Eve                                                                            |            4 |
| Mother Nature                                                                  |            4 |
| Ride, Sally, Ride                                                              |            4 |
| Crocodile Rock                                                                 |            4 |
| One Last Time                                                                  |            4 |
| No Sad Song                                                                    |            4 |
| Speak Softly Love                                                              |            4 |
| I Only Have Eyes For You                                                       |            4 |
| Didn't We                                                                      |            4 |
| George Jackson                                                                 |            4 |
| Wholy Holy                                                                     |            4 |
| Oh Me Oh My (I'm A Fool For You Baby)                                          |            4 |
| Cat's Eye In The Window                                                        |            4 |
| Tell 'Em Willie Boy's A'Comin'                                                 |            4 |
| Nothing To Hide                                                                |            4 |
| Ain't That Loving You (For More Reasons Than One)                              |            4 |
| It's Four In The Morning                                                       |            4 |
| (Love Me) Love The Life I Lead                                                 |            4 |
| Deteriorata                                                                    |            4 |
| Getting It On                                                                  |            4 |
| So Many People                                                                 |            3 |
| A Simple Game                                                                  |            3 |
| Hey, You Love                                                                  |            3 |
| Ain't That Peculiar                                                            |            3 |
| Runnin' Back To Saskatoon (Live)                                               |            3 |
| Love Potion Number Nine                                                        |            3 |
| Lonesome Mary                                                                  |            3 |
| Can I Get A Witness                                                            |            3 |
| Shake Off The Demon                                                            |            3 |
| It's All Up To You                                                             |            3 |
| Hi, Hi, Hi                                                                     |            3 |
| Tell Me This Is A Dream                                                        |            3 |
| Buzzy Brown                                                                    |            3 |
| Fool's Paradise                                                                |            3 |
| Amerikan Music                                                                 |            3 |
| Turn On Your Love Light                                                        |            3 |
| All His Children                                                               |            3 |
| Everyday                                                                       |            3 |
| Friends With You                                                               |            3 |
| Too Beautiful To Last                                                          |            3 |
| Keep On Running                                                                |            3 |
| I Can't Stand To See You Cry                                                   |            3 |
| Trouble Man                                                                    |            3 |
| Satisfaction                                                                   |            3 |
| Respect Yourself                                                               |            3 |
| An American Trilogy (Dixie/Battle Hymn Of the Republic/All My Trials) (Medley) |            3 |
| Taos, New Mexico                                                               |            3 |
| Keep On Doin' What You're Doin'                                                |            3 |
| Last Song                                                                      |            3 |
| (I Know) I'm Losing You                                                        |            3 |
| Jesus Is Just Alright                                                          |            3 |
| If We Only Have Love                                                           |            3 |
| Truckin'                                                                       |            3 |
| Choo Choo Mama                                                                 |            3 |
| Song Seller                                                                    |            3 |
| Hallelujah                                                                     |            3 |
| Behind Blue Eyes                                                               |            3 |
| Step Out                                                                       |            3 |
| Looking Through The Eyes Of Love                                               |            3 |
| Vaya Con Dios                                                                  |            3 |
| Devil You                                                                      |            3 |
| You Were Made For Me                                                           |            3 |
| Mendelssohn's 4th (Second Movement)                                            |            3 |
| Carolyn                                                                        |            3 |
| (They Long To Be) Close To You                                                 |            3 |
| Sing A Song & Make Your Own Kind Of Music (Live)                               |            3 |
| Rock And Roll Crazies                                                          |            3 |
| Celebration                                                                    |            3 |
| You Got Me Walking                                                             |            3 |
| Sweet Sixteen                                                                  |            3 |
| Mean Little Woman, Rosalie                                                     |            3 |
| I Received A Letter                                                            |            3 |
| Da Doo Ron Ron (When He Walked Me Home)                                        |            3 |
| Bring It Home (And Give It To Me)                                              |            3 |
| Remember (Christmas)                                                           |            2 |
| You've Got To Take It (If You Want It)                                         |            2 |
| I'm Never Gonna Be Alone Anymore                                               |            2 |
| Dreidel                                                                        |            2 |
| Tightrope Ride                                                                 |            2 |
| Baby I'm-A Want You                                                            |            2 |
| Together Again                                                                 |            2 |
| Take Me Bak 'Ome                                                               |            2 |
| I Just Wanna Be Your Friend                                                    |            2 |
| Happier Than The Morning Sun                                                   |            2 |
| It's The Same Old Love                                                         |            2 |
| Daytime Night-Time                                                             |            2 |
| Oh No, Not My Baby                                                             |            2 |
| What My Baby Needs Now Is A Little More Lovin'                                 |            2 |
| Pass The Peas                                                                  |            2 |
| I Got A Thing About You Baby                                                   |            2 |
| Roberta                                                                        |            2 |
| Number Wonderful                                                               |            2 |
| Don't Want To Say Goodbye                                                      |            2 |
| Superstar (Remember How You Got Where You Are)                                 |            2 |
| Thank God For You Baby                                                         |            2 |
| Nobody But You                                                                 |            2 |
| Hushabye                                                                       |            2 |
| Where There's A Will, There's A Way                                            |            2 |
| Boogie Woogie Man                                                              |            2 |
| The Road We Didn't Take                                                        |            2 |
| The Red Back Spider                                                            |            2 |
| Willpower Weak, Temptation Strong                                              |            2 |
| Where Did Our Love Go                                                          |            2 |
| Get Out Of Bed                                                                 |            2 |
| Melissa                                                                        |            2 |
| Rock & Roll Stew (Part 1)                                                      |            2 |
| Me And Jesus                                                                   |            2 |
| Redwood Tree                                                                   |            2 |
| Do You Want To Dance?                                                          |            2 |
| Mama Told Me Not To Come                                                       |            2 |
| He's An Indian Cowboy In The Rodeo                                             |            2 |
| Theme From "Shaft"                                                             |            2 |
| Brandy                                                                         |            2 |
| Crunchy Granola Suite                                                          |            2 |
| Stones                                                                         |            2 |
| Couldn't I Just Tell You                                                       |            2 |
| Anthem                                                                         |            2 |
| Dedicated To The One I Love                                                    |            2 |
| Don't Ever Take Away My Freedom                                                |            2 |
| Sugaree                                                                        |            2 |
| Theme From "Summer Of 42"                                                      |            2 |
| Southbound Train                                                               |            2 |
